"primarytitle","startyear","avgrating","numvotes","weighted_rank"
"The Shawshank Redemption",1994,9.3,2454051,9.3
"The Godfather",1972,9.2,1698279,9.2
"The Godfather: Part II",1974,9.0,1179541,9.0
"The Dark Knight",2008,9.0,2409708,9.0
"12 Angry Men",1957,9.0,726435,8.9
"Schindlers List",1993,8.9,1262196,8.9
"The Lord of the Rings: The Return of the King",2003,8.9,1704274,8.9
"Pulp Fiction",1994,8.9,1901873,8.9
"Inception",2010,8.8,2161778,8.8
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,1725528,8.8
"Forrest Gump",1994,8.8,1897194,8.8
"Fight Club",1999,8.8,1933429,8.8
"The Matrix",1999,8.7,1746674,8.7
"The Lord of the Rings: The Two Towers",2002,8.7,1540860,8.7
"Goodfellas",1990,8.7,1065743,8.7
"The Good, the Bad and the Ugly",1966,8.8,715441,8.7
"Star Wars: Episode V - The Empire Strikes Back",1980,8.7,1201478,8.7
"Soorarai Pottru",2020,9.1,89219,8.6
"The Green Mile",1999,8.6,1199089,8.6
"The Silence of the Lambs",1991,8.6,1326924,8.6
"Saving Private Ryan",1998,8.6,1287639,8.6
"Star Wars: Episode IV - A New Hope",1977,8.6,1273411,8.6
"One Flew Over the Cuckoos Nest",1975,8.7,951241,8.6
"Interstellar",2014,8.6,1606200,8.6
"Se7en",1995,8.6,1510565,8.6
"The Departed",2006,8.5,1236522,8.5
"The Prestige",2006,8.5,1240504,8.5
"American History X",1998,8.5,1064639,8.5
"Life Is Beautiful",1997,8.6,649722,8.5
"City of God",2002,8.6,720016,8.5
"The Usual Suspects",1995,8.5,1025817,8.5
"Parasite",2019,8.6,652610,8.5
"Its a Wonderful Life",1946,8.6,421143,8.5
"Seven Samurai",1954,8.6,327880,8.5
"Back to the Future",1985,8.5,1108575,8.5
"Spirited Away",2001,8.6,690118,8.5
"Gladiator",2000,8.5,1394021,8.5
"Terminator 2: Judgment Day",1991,8.5,1030737,8.5
"The Lion King",1994,8.5,980301,8.5
"Léon: The Professional",1994,8.5,1077738,8.5
"Psycho",1960,8.5,628239,8.4
"Rear Window",1954,8.5,463454,8.4
"Avengers: Endgame",2019,8.4,930343,8.4
"The Pianist",2002,8.5,767327,8.4
"The Shining",1980,8.4,938643,8.4
"Avengers: Infinity War",2018,8.4,917466,8.4
"The Intouchables",2011,8.5,793775,8.4
"Whiplash",2014,8.5,759494,8.4
"Alien",1979,8.4,820342,8.4
"Memento",2000,8.4,1165807,8.4
"Once Upon a Time in the West",1968,8.5,313449,8.4
"Dara of Jasenovac",2020,8.9,78984,8.4
"Casablanca",1942,8.5,541257,8.4
"Shershaah",2021,8.9,92481,8.4
"The Dark Knight Rises",2012,8.4,1572997,8.4
