"primarytitle","startyear","avgrating","numvotes","weighted_rank"
"Aspirants",2021,9.7,282870,9.5
"Breaking Bad",2008,9.4,1571394,9.4
"Chernobyl",2019,9.4,606371,9.3
"Band of Brothers",2001,9.4,396799,9.2
"Game of Thrones",2011,9.2,1865724,9.2
"Rick and Morty",2013,9.2,425271,9.1
"Avatar: The Last Airbender",2005,9.3,269862,9.1
"Scam 1992: The Harshad Mehta Story",2020,9.5,129707,9.1
"Planet Earth",2006,9.4,173362,9.1
"The Wire",2002,9.3,301391,9.1
"Sherlock",2010,9.1,846457,9.0
"Planet Earth II",2016,9.5,104316,9.0
"The Sopranos",1999,9.2,329079,9.0
"Cosmos",2014,9.3,115169,8.9
"Firefly",2002,9.0,250826,8.8
"The Office",2005,8.9,463414,8.8
"True Detective",2014,8.9,519925,8.8
"Fullmetal Alchemist: Brotherhood",2009,9.1,137588,8.8
"Friends",1994,8.9,891776,8.8
"Fargo",2014,8.9,344240,8.8
"Death Note",2006,9.0,267571,8.8
"Attack on Titan",2013,9.0,248933,8.8
"The Mandalorian",2019,8.8,350326,8.7
"Dark",2017,8.8,318502,8.7
"Peaky Blinders",2013,8.8,402824,8.7
"Black Mirror",2011,8.8,475238,8.7
"Narcos",2015,8.8,379324,8.7
"Better Call Saul",2015,8.8,353715,8.7
"Leyla and Mecnun",2011,9.1,91040,8.6
"Stranger Things",2016,8.7,901443,8.6
"Seinfeld",1989,8.8,266929,8.6
"Twin Peaks",1990,8.8,183794,8.6
"House",2004,8.7,428903,8.6
"Arrested Development",2003,8.7,286262,8.6
"The Last Dance",2020,9.1,95378,8.6
"Its Always Sunny in Philadelphia",2005,8.8,199556,8.6
"South Park",1997,8.7,342812,8.6
"House of Cards",2013,8.7,479286,8.6
"The Boys",2019,8.7,305482,8.6
"The Queens Gambit",2020,8.6,346124,8.5
"Daredevil",2015,8.6,378324,8.5
"Kota Factory",2019,9.2,54799,8.5
"Cowboy Bebop",1998,8.9,96957,8.5
"One Punch Man",2015,8.8,131117,8.5
"TVF Pitchers",2015,9.1,63633,8.5
"The Twilight Zone",1959,9.0,75533,8.5
"Dexter",2006,8.6,671238,8.5
"Batman: The Animated Series",1992,9.0,93035,8.5
"When They See Us",2019,8.9,103958,8.5
"Downton Abbey",2010,8.7,174444,8.5
"Westworld",2016,8.6,448766,8.5
"The Simpsons",1989,8.6,378581,8.5
"Curb Your Enthusiasm",2000,8.7,109166,8.4
"Doctor Who",2005,8.6,205925,8.4
"Parks and Recreation",2009,8.6,229842,8.4
"Fleabag",2016,8.7,119515,8.4
"Mindhunter",2017,8.6,239584,8.4
"Mr. Robot",2015,8.5,348926,8.4
"Dragon Ball Z",1996,8.7,119422,8.4
"Six Feet Under",2001,8.7,126101,8.4
"Hunter x Hunter",2011,9.0,71089,8.4
"One Piece",1999,8.8,84148,8.4
"The Haunting of Hill House",2018,8.6,197969,8.4
"Battlestar Galactica",2004,8.7,157397,8.4
"The Crown",2016,8.6,172324,8.4
"The X-Files",1993,8.6,207572,8.4
"BoJack Horseman",2014,8.7,126881,8.4
"Freaks and Geeks",1999,8.7,134633,8.4
"Sons of Anarchy",2008,8.5,272807,8.4
"Rome",2005,8.7,160553,8.4
"Vikings",2013,8.5,465867,8.4
"Last Week Tonight with John Oliver",2014,8.9,82803,8.4
"Gravity Falls",2012,8.9,84264,8.4
