"primaryname","average_film_rating","number_films"
"Christopher Nolan",8.3,9
"Sergio Leone",8.3,6
"Ingmar Bergman",8.1,7
"Lee Unkrich",8.1,5
"Akira Kurosawa",8.1,13
"Stanley Kubrick",8.1,11
"Andrei Tarkovsky",8.1,7
"Billy Wilder",8.0,10
"Hayao Miyazaki",8.0,11
"Federico Fellini",8.0,5
"John Ford",8.0,5
"George Cukor",7.9,5
"Quentin Tarantino",7.9,12
"James Cameron",7.9,7
"Denis Villeneuve",7.8,6
"Sidney Lumet",7.8,8
"Alfred Hitchcock",7.7,23
"Alejandro G. Iñárritu",7.7,6
"Howard Hawks",7.7,10
"Milos Forman",7.7,6
"Martin Scorsese",7.7,21
"David Fincher",7.7,11
"Peter Jackson",7.7,12
"Alfonso Cuarón",7.6,6
"Matthew Vaughn",7.6,5
"Paul Greengrass",7.6,5
"Wes Anderson",7.6,8
"Brad Bird",7.6,6
"Norman Jewison",7.6,6
"Francis Ford Coppola",7.6,11
"Park Chan-Wook",7.6,6
"Edgar Wright",7.5,5
"Richard Linklater",7.5,10
"Andrew Stanton",7.5,5
"Pedro Almodóvar",7.5,9
"Paul Thomas Anderson",7.5,7
"Werner Herzog",7.5,5
"Peter Weir",7.5,8
"Jim Jarmusch",7.5,9
"Jean-Marc Vallée",7.5,5
"Kar-Wai Wong",7.5,7
"David Lynch",7.5,10
"David Hand",7.5,6
"Michael Haneke",7.5,6
"Alan Parker",7.4,7
"Roman Polanski",7.4,10
"John Musker",7.4,7
"Ron Clements",7.4,7
"Darren Aronofsky",7.4,6
"Rob Reiner",7.4,9
"Mike Leigh",7.4,5
"Sam Mendes",7.4,7
"Jean-Pierre Jeunet",7.4,6
"David Yates",7.4,6
"Guy Ritchie",7.4,9
"Steven Spielberg",7.4,30
"Robert Wise",7.4,6
"Stephen Frears",7.4,6
"Wilfred Jackson",7.4,7
"Joel Coen",7.3,17
"Yimou Zhang",7.3,6
"Blake Edwards",7.3,6
"Ethan Coen",7.3,17
"John Huston",7.3,9
"John Lasseter",7.3,5
"Hamilton Luske",7.3,7
"Wolfgang Reitherman",7.3,9
"Bernardo Bertolucci",7.3,5
"John Hughes",7.3,6
"J.J. Abrams",7.3,6
"Clyde Geronimi",7.3,7
"Alejandro Amenábar",7.3,6
"James Mangold",7.3,10
"Lars von Trier",7.3,8
"Tom McCarthy",7.2,5
"Jee-woon Kim",7.2,5
"Philip Kaufman",7.2,5
"Robert Altman",7.2,7
"Danny Boyle",7.2,13
"George Lucas",7.2,6
"Bryan Singer",7.2,10
"Robert Redford",7.2,5
"Robert Zemeckis",7.2,17
"Kathryn Bigelow",7.2,6
"David O. Russell",7.2,6
"Taylor Hackford",7.2,7
"Marc Forster",7.1,8
"Ang Lee",7.1,9
"Michael Mann",7.1,10
"Edward Zwick",7.1,10
"Alexander Payne",7.1,6
"Don Bluth",7.1,6
"Spike Lee",7.1,6
"Mike Nichols",7.1,9
"Baz Luhrmann",7.1,5
"Alan J. Pakula",7.1,5
"Ridley Scott",7.1,21
"Clint Eastwood",7.1,13
"Terry Gilliam",7.1,10
"Jason Reitman",7.1,6
